id,panel_id,track_id,role,datecreated,datemodified
72,664,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
73,665,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
74,666,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
75,667,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
76,668,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
77,669,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
78,670,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
79,671,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
80,672,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
81,673,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
82,674,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
83,675,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
84,654,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
85,676,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
86,677,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
87,678,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
88,679,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
89,680,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
90,681,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
91,682,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
92,684,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
93,685,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
94,686,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
95,687,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
96,690,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
97,691,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
98,692,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
99,693,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
100,694,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
101,695,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
